dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.06956424325401081,0.17279720543554863,-7.600902459542082,11.002099841204238,30,True,,0.8478380050428516,-1.4579859118115055,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.10963721980455474,0.2145260239873237,-7.600902459542082,11.002099841204238,28,True,,0.8758651687298581,-1.4778220759207834,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.45038918790968907,0.5379828087421804,-7.600902459542082,11.002099841204238,38,True,,0.8106192700504317,-1.4997641238827328,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.28112655469497644,0.39213899630598786,-7.600902459542082,11.002099841204238,39,True,,0.8251423357542294,-1.4835016657039466,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.03555958037582367,0.13377540056601886,-7.600902459542082,11.002099841204238,29,True,,0.8406723787116734,-1.4829320362747038,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.14666063849224656,0.2523933379055691,-7.600902459542082,11.002099841204238,28,True,,0.8728216118651926,-1.44288313786674,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.08609255763489497,0.19232363872934108,-7.600902459542082,11.002099841204238,32,True,,0.8723773772268835,-1.475179164420849,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.5144544470501096,0.6032900139160582,-7.600902459542082,11.002099841204238,40,True,,0.862568543422792,-1.468528508428214,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.07693126603419649,0.1846273774076092,-7.600902459542082,11.002099841204238,37,True,,0.8667758130604538,-1.4797670334935302,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.409437459512952,0.5186216411819873,-7.600902459542082,11.002099841204238,11,True,,0.894865426060853,-1.468709981151045,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.25815752843608275,0.36578954643299466,-7.600902459542082,11.002099841204238,38,True,,0.8671440111497731,-1.4379267191057967,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.05034611446136076,0.15866722688129947,-7.600902459542082,11.002099841204238,27,True,,0.842842191436241,-1.4773888529500037,vgg_lite,"[2, 2, 1]",pool
