dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.963004968,6.525615258,-7.60090246,11.00209984,0.84020807,-1.061596864,40,TRUE
MNIST,0.0005,50,0.15,12.36796188,3.465735903,1.445212029,5.003887141,-7.60090246,11.00209984,0.831857849,-1.151377658,39,TRUE
MNIST,0.0005,50,0.15,11.33831014,3.465735903,0.406151516,3.965879493,-7.60090246,11.00209984,0.832107902,-1.119021881,59,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.95743871,6.536090279,-7.60090246,11.00209984,0.839248934,-1.073851549,37,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.736442691,6.337755978,-7.60090246,11.00209984,0.839266136,-1.067525967,69,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.887679495,6.473977521,-7.60090246,11.00209984,0.823091817,-1.07528814,52,TRUE
MNIST,0.0005,50,0.15,11.14836235,3.465735903,1.473480226,5.038132776,-7.60090246,11.00209984,0.837288371,-1.141449855,53,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.52642717,5.085106026,-7.60090246,11.00209984,0.842686481,-1.101925531,40,TRUE
MNIST,0.0005,50,0.15,12.37420231,3.465735903,0.853532921,4.431518715,-7.60090246,11.00209984,0.833084998,-1.101361813,47,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,3.021842297,6.577973051,-7.60090246,11.00209984,0.829937312,-1.136896694,37,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,3.009340586,6.587238027,-7.60090246,11.00209984,0.834341179,-1.130309336,42,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.861590745,6.417035678,-7.60090246,11.00209984,0.842459082,-1.063763153,72,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.745184115,6.356174032,-7.60090246,11.00209984,0.826223731,-1.103300198,53,TRUE
